track_name,track_artist,track_popularity,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo
Work,Rihanna,77,0.725,0.534,-6.238,0.0946,0.0752,0.0919,0.558,91.974
What's My Name?,Rihanna,68,0.69,0.786,-2.959,0.0692,0.229,0.0797,0.583,100.049
24K Magic,Bruno Mars,78,0.818,0.803,-4.282,0.0797,0.034,0.153,0.632,106.97
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,29,0.614,0.839,-4.143,0.0702,0.0291,0.112,0.657,182.123
my boy,Billie Eilish,80,0.692,0.394,-8.745,0.207,0.472,0.117,0.324,89.936
party favor,Billie Eilish,76,0.826,0.188,-12.181,0.0883,0.882,0.103,0.205,130.022
Shallow - Radio Edit,Lady Gaga,78,0.575,0.33,-6.557,0.031,0.416,0.0872,0.277,95.801
bury a friend,Billie Eilish,87,0.905,0.389,-14.505,0.332,0.74,0.106,0.196,120.046
you should see me in a crown,Billie Eilish,84,0.678,0.533,-10.485,0.186,0.462,0.139,0.323,150.455
all the good girls go to hell,Billie Eilish,86,0.726,0.444,-8.922,0.372,0.283,0.177,0.569,185.044
Behind Barz - Bonus,Drake,77,0.854,0.554,-4.684,0.172,0.769,0.0749,0.272,142.069
Over,Drake,63,0.35,0.845,-5.614,0.2,0.0107,0.123,0.45,99.643
Money In The Grave (Drake ft. Rick Ross),Drake,88,0.831,0.502,-4.045,0.046,0.101,0.122,0.101,100.541
Nice For What,Drake,18,0.567,0.913,-6.471,0.0736,0.0934,0.114,0.792,93.35
Back To Back,Drake,69,0.893,0.48,-3.728,0.356,0.00854,0.116,0.382,86.976
Jumpman,Drake,75,0.852,0.553,-7.286,0.187,0.0563,0.332,0.656,142.072
Forever,Drake,67,0.415,0.926,-1.304,0.374,0.253,0.256,0.542,158.423
Nonstop,Drake,13,0.909,0.405,-8.133,0.14,0.0306,0.105,0.455,154.984
Bitch Better Have My Money,Rihanna,75,0.781,0.728,-4.981,0.0621,0.0509,0.257,0.395,102.99
Swine,Lady Gaga,1,0.712,0.861,-3.625,0.136,0.0062,0.634,0.209,127.89
Needed Me,Rihanna,14,0.671,0.314,-8.091,0.244,0.11,0.0825,0.296,110.898
Rude Boy,Rihanna,12,0.563,0.75,-4.496,0.127,0.113,0.0788,0.812,173.906
Portland,Drake,74,0.925,0.443,-8.216,0.264,0.0172,0.276,0.35,136.078
Gyalchester,Drake,70,0.877,0.391,-8.196,0.063,0.0317,0.0945,0.122,131.018
Can't Have Everything,Drake,60,0.856,0.572,-8.429,0.373,0.0136,0.121,0.454,82.445
Sacrifices,Drake,1,0.903,0.439,-11.813,0.397,0.0407,0.138,0.532,139.112
Uptown (feat. Bun B & Lil Wayne),Drake,62,0.416,0.824,-3.075,0.343,0.00391,0.104,0.417,85.433
Started From the Bottom,Drake,1,0.79,0.54,-6.959,0.183,0.0391,0.266,0.459,86.308
The Motto,Drake,10,0.774,0.431,-8.407,0.346,1.46e-4,0.112,0.353,201.843
"Hold On, We're Going Home",Drake,1,0.765,0.452,-6.644,0.068,0.0033,0.0916,0.331,100.002
KMT,Drake,64,0.875,0.6,-6.818,0.0435,0.0189,0.132,0.0906,119.987
The Hills - RL Grime Remix,The Weeknd,51,0.571,0.897,-2.463,0.0432,0.113,0.158,0.446,139.996
MyBoi - TroyBoi Remix,Billie Eilish,71,0.879,0.58,-4.797,0.0883,0.00626,0.0653,0.312,92.004
Grammys,Drake,1,0.711,0.44,-9.509,0.471,0.00175,0.0798,0.121,145.116
Digital Dash,Drake,1,0.889,0.543,-7.666,0.128,0.00311,0.234,0.314,140.029
Always in My Head,Coldplay,65,0.499,0.502,-9.307,0.0254,0.0128,0.068,0.0397,97.544
Magic,Coldplay,72,0.738,0.483,-8.915,0.0403,0.0262,0.106,0.355,93.458
Ink,Coldplay,62,0.688,0.706,-7.31,0.0324,0.0661,0.118,0.689,112.019
True Love,Coldplay,58,0.482,0.574,-7.963,0.028,0.00382,0.123,0.184,119.994
Midnight,Coldplay,64,0.548,0.475,-12.42,0.0355,0.615,0.0944,0.0349,126.976
Another's Arms,Coldplay,57,0.518,0.572,-9.037,0.0291,0.00715,0.139,0.347,160.005
Oceans,Coldplay,55,0.194,0.132,-15.783,0.0349,0.919,0.159,0.04,74.848
O,Coldplay,63,0.23,0.216,-14.727,0.0376,0.911,0.0934,0.0618,92.022
All Your Friends,Coldplay,36,0.507,0.317,-12.177,0.0283,0.183,0.112,0.201,74.98
Ghost Story,Coldplay,37,0.595,0.638,-7.941,0.0307,0.104,0.0699,0.51,122.005
O - Reprise,Coldplay,32,0.201,0.327,-11.975,0.0285,0.869,0.117,0.0945,107.019
Talk,Coldplay,62,0.413,0.557,-10.841,0.0335,0.00548,0.155,0.158,120.318
Trouble,Coldplay,71,0.561,0.547,-7.496,0.0321,0.189,0.17,0.19,139.755
Lost!,Coldplay,52,0.359,0.779,-7.52,0.0412,0.0057,0.379,0.582,86.951
Beautiful People (feat. Khalid) - NOTD Remix,Ed Sheeran,66,0.702,0.794,-5.913,0.0562,0.00715,0.11,0.37,103.972
Starboy - Kygo Remix,The Weeknd,5,0.751,0.623,-7.215,0.0939,0.209,0.168,0.383,93.01
Galway Girl - Martin Jensen Remix,Ed Sheeran,58,0.726,0.748,-4.576,0.0438,0.0245,0.141,0.731,100.055
Photograph - Felix Jaehn Remix,Ed Sheeran,0,0.733,0.821,-4.982,0.0407,0.0815,0.122,0.397,120.011
Thinking out Loud - Alex Adair Remix,Ed Sheeran,49,0.828,0.745,-6.717,0.152,0.21,0.087,0.517,117.008
Often - Kygo Remix,The Weeknd,65,0.523,0.491,-9.876,0.0491,0.123,0.331,0.408,80.156
Marry You,Bruno Mars,72,0.62,0.832,-4.848,0.036,0.332,0.104,0.481,144.926
Princess of China - Acoustic,Coldplay,52,0.245,0.471,-7.952,0.0313,0.652,0.126,0.287,165.996
The A Team - Acoustic,Ed Sheeran,50,0.649,0.264,-9.899,0.28,0.727,0.292,0.424,121.815
"Magic - Live at the Enmore Theatre, Sydney",Coldplay,54,0.5,0.502,-11.775,0.0424,0.18,0.729,0.362,93.361
"A Sky Full of Stars - Live at the Royal Albert Hall, London",Coldplay,54,0.467,0.765,-7.846,0.0311,0.00416,0.708,0.186,125.013
Nothing On You (feat. Paulo Londra & Dave),Ed Sheeran,59,0.747,0.649,-6.218,0.219,0.333,0.172,0.84,88.011
Somebody To Love Remix,Justin Bieber,54,0.704,0.836,-4.619,0.0283,0.00388,0.16,0.553,129.989
Eenie Meenie,Justin Bieber,4,0.718,0.605,-4.24,0.0307,0.0443,0.0962,0.818,121.236
One Time,Justin Bieber,68,0.691,0.853,-2.528,0.0372,0.0631,0.082,0.762,145.999
One Less Lonely Girl,Justin Bieber,67,0.58,0.75,-4.421,0.194,0.159,0.274,0.728,86.938
Love Me,Justin Bieber,65,0.729,0.868,-3.319,0.0609,0.00939,0.283,0.632,124.957
Stupid In Love,Rihanna,47,0.738,0.562,-5.435,0.0347,0.633,0.102,0.476,127.452
Grenade,Bruno Mars,75,0.706,0.558,-7.237,0.0593,0.146,0.118,0.227,110.443
Hard,Rihanna,56,0.31,0.746,-3.599,0.111,0.0121,0.649,0.163,182.032
Russian Roulette,Rihanna,65,0.48,0.486,-5.754,0.0447,0.046,0.107,0.265,80.051
S&M,Rihanna,72,0.766,0.682,-5.02,0.0419,0.0113,0.104,0.833,127.966
Complicated,Rihanna,48,0.71,0.897,-3.802,0.0372,0.175,0.0918,0.33,137.972
Pop Style,Drake,51,0.713,0.462,-10.027,0.123,0.192,0.105,0.0595,133.054
Fake Love,Drake,6,0.924,0.543,-7.474,0.298,0.182,0.103,0.736,133.907
When I Was Your Man,Bruno Mars,82,0.612,0.28,-8.648,0.0434,0.932,0.088,0.387,72.795
You Belong With Me,Taylor Swift,52,0.688,0.775,-4.436,0.0381,0.151,0.104,0.469,129.969
I Knew You Were Trouble,Taylor Swift,16,0.499,0.467,-6.744,0.0461,0.00593,0.0361,0.637,76.76
Wildest Dreams,Taylor Swift,65,0.553,0.664,-7.417,0.0741,0.0709,0.106,0.467,140.06
Pon de Replay - Radio Edit,Rihanna,34,0.75,0.632,-8.681,0.215,1.47e-4,0.108,0.532,98.997
Perfect,Ed Sheeran,86,0.599,0.448,-6.312,0.0232,0.163,0.106,0.168,95.05
Pray For Me (with Kendrick Lamar),The Weeknd,76,0.735,0.677,-4.979,0.093,0.0762,0.111,0.188,100.584
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,73,0.746,0.787,-6.373,0.12,0.214,0.0669,0.607,95.005
The Zone,The Weeknd,61,0.619,0.521,-8.092,0.0744,0.26,0.101,0.254,139.886
Till Dawn (Here Comes The Sun),The Weeknd,53,0.697,0.542,-8.946,0.0437,0.821,0.134,0.547,99.988
Same Old Song,The Weeknd,55,0.771,0.56,-5.636,0.0692,0.415,0.536,0.389,109.978
Echoes Of Silence,The Weeknd,55,0.214,0.156,-17.515,0.0443,0.951,0.101,0.132,75.654
Valerie,The Weeknd,62,0.641,0.539,-6.351,0.0463,0.346,0.0837,0.436,148.004
Gone,The Weeknd,54,0.494,0.697,-7.232,0.309,0.708,0.0602,0.344,107.669
The Party & The After Party,The Weeknd,60,0.438,0.634,-7.456,0.337,0.476,0.113,0.397,203.585
Losers,The Weeknd,62,0.666,0.485,-9.85,0.0527,0.0355,0.504,0.288,91.009
Tell Your Friends,The Weeknd,68,0.565,0.454,-11.091,0.0461,0.265,0.181,0.312,74.809
Often,The Weeknd,76,0.569,0.629,-9.837,0.0485,0.218,0.135,0.0726,134.035
Dark Times,The Weeknd,69,0.501,0.403,-9.607,0.0752,0.114,0.124,0.27,132.608
Prisoner,The Weeknd,64,0.55,0.404,-12.755,0.0398,0.441,0.11,0.329,135.016
Secrets,The Weeknd,71,0.665,0.771,-5.779,0.0533,0.0155,0.46,0.764,109.945
True Colors,The Weeknd,69,0.624,0.424,-8.237,0.24,0.284,0.173,0.584,76.669
Sidewalks,The Weeknd,70,0.542,0.721,-5.136,0.0625,0.147,0.348,0.623,149.831
Six Feet Under,The Weeknd,69,0.772,0.504,-8.219,0.0761,0.129,0.125,0.244,140.035
Die For You,The Weeknd,76,0.586,0.525,-7.163,0.0615,0.111,0.134,0.508,133.629
Call Out My Name,The Weeknd,24,0.449,0.599,-4.892,0.0369,0.211,0.327,0.165,134.144
Try Me,The Weeknd,19,0.466,0.672,-5.777,0.068,0.622,0.147,0.108,91.673
Wasted Times,The Weeknd,18,0.562,0.674,-6.049,0.0851,0.622,0.111,0.293,122.699
I Was Never There,The Weeknd,17,0.324,0.735,-4.054,0.0337,0.135,0.169,0.169,113.923
Hurt You,The Weeknd,17,0.484,0.716,-7.193,0.167,0.3,0.112,0.365,184.131
Privilege,The Weeknd,16,0.391,0.595,-7.094,0.0411,0.913,0.145,0.379,93.78
Twenty Eight,The Weeknd,61,0.639,0.633,-7.338,0.0352,0.574,0.111,0.243,129.996
Crew Love,Drake,51,0.418,0.546,-9.057,0.238,0.227,0.229,0.294,160.152
Get It Together,Drake,69,0.781,0.721,-9.133,0.0514,0.0945,0.104,0.849,123.011
Summers Over Interlude,Drake,57,0.698,0.255,-8.647,0.0303,0.405,0.0985,0.243,132.036
Tears In The Rain,The Weeknd,43,0.655,0.636,-7.84,0.0453,0.109,0.0842,0.185,160.01
Adaptation,The Weeknd,44,0.642,0.79,-6.8,0.0681,0.151,0.305,0.613,114.96
Jaded,Drake,68,0.766,0.271,-5.697,0.0412,0.037,0.175,0.0371,116.02
Dreams Money Can Buy,Drake,61,0.423,0.587,-6.635,0.529,0.765,0.114,0.33,180.331
Feels (feat. Young Thug & J Hus),Ed Sheeran,37,0.665,0.68,-4.899,0.29,0.112,0.096,0.69,91.67
How Bout Now,Drake,66,0.789,0.404,-8.364,0.23,0.205,0.219,0.472,122.062
Jodeci Freestyle (feat. J. Cole),Drake,57,0.498,0.844,-2.834,0.268,0.0111,0.102,0.282,88.435
Shallow,Lady Gaga,88,0.572,0.385,-6.362,0.0308,0.371,0.231,0.323,95.799
I See Fire,Ed Sheeran,23,0.641,0.176,-11.692,0.0349,0.638,0.252,0.297,76.031
8,Billie Eilish,80,0.735,0.235,-13.239,0.315,0.698,0.107,0.462,62.446
i love you,Billie Eilish,85,0.421,0.131,-18.435,0.0382,0.952,0.109,0.12,137.446
goodbye,Billie Eilish,77,0.153,0.138,-21.877,0.0503,0.837,0.254,0.0503,74.318
xanny,Billie Eilish,83,0.521,0.125,-17.832,0.239,0.751,0.265,0.0528,111.554
ocean eyes,Billie Eilish,85,0.511,0.363,-7.65,0.041,0.816,0.084,0.169,144.892
Best Part of Me (feat. YEBBA),Ed Sheeran,74,0.565,0.242,-8.367,0.0318,0.762,0.285,0.237,81.657
hostage,Billie Eilish,79,0.427,0.123,-15.228,0.0497,0.868,0.0732,0.0394,129.565
&burn (with Vince Staples),Billie Eilish,68,0.776,0.379,-9.351,0.331,0.213,0.0969,0.346,82.531
Summer Games,Drake,4,0.776,0.482,-11.268,0.0356,0.481,0.11,0.128,136.015
Jungle,Drake,70,0.69,0.235,-8.651,0.0541,0.618,0.107,0.378,99.906
Take Care,Drake,71,0.629,0.515,-10.358,0.265,0.0267,0.0888,0.299,121.845
Marvins Room,Drake,74,0.492,0.26,-17.341,0.0921,0.646,0.0705,0.312,111.519
lovely (with Khalid),Billie Eilish,89,0.351,0.296,-10.109,0.0333,0.934,0.095,0.12,115.284
Man Down,Rihanna,59,0.479,0.906,-4.03,0.188,0.0406,0.051,0.536,155.887
idontwannabeyouanymore,Billie Eilish,85,0.483,0.412,-8.461,0.0402,0.737,0.116,0.247,170.163
when the party's over,Billie Eilish,26,0.498,0.104,-14.08,0.0621,0.979,0.0895,0.205,124.001
0 To 100 / The Catch Up,Drake,5,0.559,0.716,-3.964,0.39,0.737,0.252,0.504,176.618
The Language,Drake,53,0.823,0.662,-8.426,0.318,0.0118,0.0805,0.533,120.117
6 Man,Drake,1,0.812,0.535,-9.306,0.449,0.217,0.114,0.321,78.974
Used To,Drake,0,0.926,0.427,-7.584,0.107,0.0703,0.0818,0.305,96.023
No Tellin',Drake,1,0.823,0.467,-10.394,0.301,0.543,0.135,0.618,95.024
Purpose,Justin Bieber,71,0.481,0.285,-10.848,0.0424,0.9,0.123,0.316,130.029
Bellyache - Marian Hill Remix,Billie Eilish,71,0.832,0.368,-8.627,0.133,0.2,0.353,0.2,100.045
my strange addiction,Billie Eilish,82,0.939,0.305,-10.952,0.354,0.35,0.105,0.563,100.029
ilomilo,Billie Eilish,81,0.855,0.423,-15.044,0.0585,0.724,0.0896,0.572,120.02
listen before i go,Billie Eilish,81,0.319,0.0561,-23.023,0.045,0.935,0.388,0.082,79.764
Bored,Billie Eilish,76,0.614,0.318,-12.695,0.0478,0.896,0.0795,0.112,119.959
Sex With Me,Rihanna,69,0.58,0.532,-5.668,0.0424,0.294,0.0948,0.39,112.049
Pour It Up,Rihanna,62,0.785,0.478,-8.735,0.0419,0.0254,0.0901,0.39,134.002
Finesse - Remix; feat. Cardi B,Bruno Mars,77,0.704,0.859,-4.877,0.0996,0.0185,0.0215,0.926,105.115
Emotionless,Drake,6,0.413,0.676,-5.124,0.213,0.0239,0.0811,0.0827,173.478
I Forgot That You Existed,Taylor Swift,79,0.664,0.316,-10.345,0.519,0.298,0.0812,0.541,92.875
End Game,Taylor Swift,68,0.649,0.589,-6.237,0.0558,0.00845,0.108,0.151,159.073
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,77,0.587,0.299,-7.365,0.0263,0.779,0.123,0.356,94.992
Signs,Drake,70,0.794,0.735,-4.204,0.054,0.108,0.112,0.223,107.374
Love Yourself,Justin Bieber,83,0.609,0.378,-9.828,0.438,0.835,0.28,0.515,100.418
Kiss It Better - KAYTRANADA Edition,Rihanna,45,0.854,0.498,-7.922,0.332,0.0229,0.3,0.343,108.049
Higher,Rihanna,1,0.292,0.567,-4.191,0.0416,0.112,0.119,0.392,153.199
James Joint,Rihanna,0,0.399,0.203,-11.649,0.0298,0.66,0.27,0.405,134.202
Can't Feel My Face - Martin Garrix Remix,The Weeknd,2,0.607,0.707,-5.509,0.106,0.00842,0.348,0.117,128.014
She Don't Like The Lights - Acoustic Version,Justin Bieber,36,0.612,0.428,-8.52,0.0292,0.75,0.0921,0.685,123.822
Work - R3hab Remix,Rihanna,2,0.715,0.8,-5.488,0.0555,0.0104,0.319,0.264,100.004
Bitch Better Have My Money - R3hab Remix,Rihanna,1,0.788,0.921,-3.21,0.055,0.006,0.105,0.551,128.007
Bitch Better Have My Money - GTA Remix,Rihanna,0,0.768,0.877,-3.114,0.151,7.68e-4,0.0739,0.48,103.036
You Need To Calm Down - Clean Bandit Remix,Taylor Swift,54,0.726,0.88,-4.137,0.0581,0.072,0.0906,0.739,95.037
...Ready For It? - BloodPop® Remix,Taylor Swift,50,0.582,0.835,-4.899,0.222,0.133,0.102,0.496,160.09
24K Magic - R3hab Remix,Bruno Mars,59,0.763,0.708,-5.692,0.209,0.146,0.33,0.566,106.175
Perfect - Mike Perry Remix,Ed Sheeran,46,0.732,0.756,-4.309,0.0324,0.26,0.13,0.343,113.98
Kiss It Better - R3hab Remix,Rihanna,1,0.728,0.738,-3.939,0.0455,0.0505,0.104,0.458,102
Needed Me - R3hab Remix,Rihanna,44,0.659,0.683,-5.485,0.0488,0.00835,0.625,0.278,99.987
Paradise - Tiësto Remix,Coldplay,48,0.637,0.736,-6.003,0.0404,0.0123,0.0798,0.643,130.015
California King Bed - Bassjackers Radio,Rihanna,0,0.589,0.821,-3.385,0.0413,3.18e-4,0.39,0.159,127.986
Shape of You - Galantis Remix,Ed Sheeran,51,0.838,0.765,-2.332,0.0462,0.0514,0.0297,0.905,100.021
That's What I Like - Alan Walker Remix,Bruno Mars,63,0.692,0.896,-4.017,0.0502,0.0121,0.199,0.798,134.056
Bad Blood,Taylor Swift,62,0.652,0.802,-6.114,0.181,0.0871,0.148,0.295,170.157
Beauty And A Beat,Justin Bieber,72,0.601,0.843,-4.87,0.0593,7.04e-4,0.0681,0.534,128.002
Delicate,Taylor Swift,71,0.75,0.404,-10.178,0.0682,0.216,0.0911,0.0499,95.045
Finesse,Bruno Mars,68,0.741,0.798,-5.342,0.0718,0.00781,0.0232,0.939,104.953
A Sky Full of Stars - Hardwell Remix,Coldplay,18,0.439,0.648,-3.643,0.0325,0.019,0.343,0.0546,127.954
